ChEMBL ID;Name;Synonyms;Type;Max Phase;Molecular Weight;Targets;Bioactivities;AlogP;Polar Surface Area;HBA;HBD;#RO5 Violations;#Rotatable Bonds;Passes Ro3;QED Weighted;CX Acidic pKa;CX Basic pKa;CX LogP;CX LogD;Aromatic Rings;Structure Type;Inorganic Flag;Heavy Atoms;HBA (Lipinski);HBD (Lipinski);#RO5 Violations (Lipinski);Molecular Weight (Monoisotopic);Np Likeness Score;Molecular Species;Molecular Formula;Smiles;Inchi Key;Inchi;Withdrawn Flag;Orphan;Records Key;Records Name
CHEMBL5290159;;;;;256.31;1;1;1.25;94.03;4;3;0;5;N;0.75;None;9.28;0.52;-1.34;2;MOL;-1;19;5;5;0;256.1324;-1.20;BASE;C14H16N4O;NCc1ccc(CNc2ccc(C(N)=O)cn2)cc1;GOGLJESHQNHTBF-UHFFFAOYSA-N;InChI=1S/C14H16N4O/c15-7-10-1-3-11(4-2-10)8-17-13-6-5-12(9-18-13)14(16)19/h1-6,9H,7-8,15H2,(H2,16,19)(H,17,18);FALSE;-1;['14'];['6-((4-(aminomethyl)benzyl)amino)nicotinamide']
CHEMBL5289815;;;;;311.39;4;5;1.20;83.28;5;3;0;5;N;0.77;None;8.88;0.97;-0.52;2;MOL;-1;23;6;4;0;311.1746;-1.58;BASE;C17H21N5O;NC(=O)c1ccc(NCc2cccc(N3CCNCC3)c2)nc1;JNTHNCJDQUJFLH-UHFFFAOYSA-N;InChI=1S/C17H21N5O/c18-17(23)14-4-5-16(21-12-14)20-11-13-2-1-3-15(10-13)22-8-6-19-7-9-22/h1-5,10,12,19H,6-9,11H2,(H2,18,23)(H,20,21);FALSE;-1;['15'];['6-((3-(piperazin-1-yl)benzyl)amino)nicotinamide']
CHEMBL5276347;;;;;369.47;4;5;1.57;84.46;5;1;0;5;N;0.87;None;8.55;0.06;-1.12;2;MOL;-1;27;7;2;0;369.2165;-1.46;BASE;C20H27N5O2;CN1CCC(N(C)C(=O)Cn2c(C3CC3)cc3cc(C(N)=O)cnc32)CC1;ZRYBTEHWDKITLC-UHFFFAOYSA-N;InChI=1S/C20H27N5O2/c1-23-7-5-16(6-8-23)24(2)18(26)12-25-17(13-3-4-13)10-14-9-15(19(21)27)11-22-20(14)25/h9-11,13,16H,3-8,12H2,1-2H3,(H2,21,27);FALSE;-1;['35'];['2-cyclopropyl-1-(2-(methyl(1-methylpiperidin-4-yl)amino)-2-oxoethyl)-1H-pyrrolo[2,3-b]pyridine-5-carboxamide']
CHEMBL5276443;;;;;269.35;17;18;2.57;68.01;3;2;0;5;N;0.88;None;5.07;2.43;2.43;2;MOL;-1;20;4;3;0;269.1528;-1.33;NEUTRAL;C16H19N3O;CC(C)(CNc1ccc(C(N)=O)cn1)c1ccccc1;XVNKQYMDQJGTEQ-UHFFFAOYSA-N;InChI=1S/C16H19N3O/c1-16(2,13-6-4-3-5-7-13)11-19-14-9-8-12(10-18-14)15(17)20/h3-10H,11H2,1-2H3,(H2,17,20)(H,18,19);FALSE;-1;['22'];['6-((2-methyl-2-phenylpropyl)amino)nicotinamide']
CHEMBL5283966;;;;;180.23;1;2;1.63;48.91;3;2;0;2;Y;0.74;9.43;1.51;0.94;0.93;2;MOL;-1;12;3;2;0;180.0357;-2.03;NEUTRAL;C8H8N2OS;OCc1cc(-c2cccs2)[nH]n1;NDPYGRUIEXRXDO-UHFFFAOYSA-N;InChI=1S/C8H8N2OS/c11-5-6-4-7(10-9-6)8-2-1-3-12-8/h1-4,11H,5H2,(H,9,10);FALSE;-1;['3'];['(5-(thiophen-2-yl)-1H-pyrazol-3-yl)methanol']
CHEMBL5276604;;;;;205.26;1;1;1.53;68.01;3;2;0;3;N;0.79;None;5.05;1.03;1.03;1;MOL;-1;15;4;3;0;205.1215;-1.41;NEUTRAL;C11H15N3O;NC(=O)c1ccc(NC2CCCC2)nc1;HTKJVDABQHUEPR-UHFFFAOYSA-N;InChI=1S/C11H15N3O/c12-11(15)8-5-6-10(13-7-8)14-9-3-1-2-4-9/h5-7,9H,1-4H2,(H2,12,15)(H,13,14);FALSE;-1;['10'];['6-(cyclopentylamino)nicotinamide']
CHEMBL5287635;;;;;232.24;1;1;-0.12;90.01;4;2;0;3;N;0.77;None;2.65;-0.81;-0.81;2;MOL;-1;17;6;3;0;232.0960;-1.70;NEUTRAL;C11H12N4O2;CNC(=O)Cn1ccc2cc(C(N)=O)cnc21;BLXYKEVLXJCMSB-UHFFFAOYSA-N;InChI=1S/C11H12N4O2/c1-13-9(16)6-15-3-2-7-4-8(10(12)17)5-14-11(7)15/h2-5H,6H2,1H3,(H2,12,17)(H,13,16);FALSE;-1;['28'];['1-(2-(methylamino)-2-oxoethyl)-1H-pyrrolo[2,3-b]pyridine-5-carboxamide']
CHEMBL5290255;;;;;355.44;4;5;1.22;93.25;5;2;0;5;N;0.84;None;10.03;-0.32;-2.85;2;MOL;-1;26;7;3;0;355.2008;-1.29;BASE;C19H25N5O2;CN(C(=O)Cn1c(C2CC2)cc2cc(C(N)=O)cnc21)C1CCNCC1;ZDJRUJWXDYQCOC-UHFFFAOYSA-N;InChI=1S/C19H25N5O2/c1-23(15-4-6-21-7-5-15)17(25)11-24-16(12-2-3-12)9-13-8-14(18(20)26)10-22-19(13)24/h8-10,12,15,21H,2-7,11H2,1H3,(H2,20,26);FALSE;-1;['34'];['2-cyclopropyl-1-(2-(methyl(piperidin-4-yl)amino)-2-oxoethyl)-1H-pyrrolo[2,3-b]pyridine-5-carboxamide']
CHEMBL5266578;;;;;301.35;1;1;0.00;102.04;5;3;0;4;N;0.74;None;10.03;-1.17;-3.70;2;MOL;-1;22;7;4;0;301.1539;-1.49;BASE;C15H19N5O2;NC(=O)c1cnc2c(ccn2CC(=O)NC2CCNCC2)c1;HSAVAVFDIYQNAY-UHFFFAOYSA-N;InChI=1S/C15H19N5O2/c16-14(22)11-7-10-3-6-20(15(10)18-8-11)9-13(21)19-12-1-4-17-5-2-12/h3,6-8,12,17H,1-2,4-5,9H2,(H2,16,22)(H,19,21);FALSE;-1;['30'];['1-(2-oxo-2-(piperidin-4-ylamino)ethyl)-1H-pyrrolo[2,3-b]pyridine-5-carboxamide']
CHEMBL5271729;;;;;341.42;4;5;0.79;84.46;5;1;0;4;N;0.89;None;6.96;-0.12;-0.25;2;MOL;-1;25;7;2;0;341.1852;-1.43;NEUTRAL;C18H23N5O2;CN1CCN(C(=O)Cn2c(C3CC3)cc3cc(C(N)=O)cnc32)CC1;CSRIRTVKCDBIOC-UHFFFAOYSA-N;InChI=1S/C18H23N5O2/c1-21-4-6-22(7-5-21)16(24)11-23-15(12-2-3-12)9-13-8-14(17(19)25)10-20-18(13)23/h8-10,12H,2-7,11H2,1H3,(H2,19,25);FALSE;-1;['38'];['2-cyclopropyl-1-(2-(4-methylpiperazin-1-yl)-2-oxoethyl)-1H-pyrrolo[2,3-b]pyridine-5-carboxamide']
